trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.1999999999999997, 'e': 0.1300287108784259}",25,13,20.908643886604647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1999999999999997, 'e': 0.12745396989482075}",20,8,19.845130730788334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1999999999999997, 'e': 0.12493021219858241}",25,13,23.158484454918156,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999997, 'e': 0.1224564282529819}",25,0,5.606915095951942,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.1999999999999997, 'e': 0.12003162851145673}",25,5,-8.633831779766354,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.1999999999999997, 'e': 0.11765484302177918}",20,10,6.404511940505503,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.1999999999999997, 'e': 0.11532512103806251}",20,3,20.262104321109895,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.1999999999999997, 'e': 0.11304153064044985}",20,0,34.03335339502721,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1999999999999997, 'e': 0.11080315836233387}",25,12,21.166495148314947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1999999999999997, 'e': 0.10860910882495796}",20,2,7.5385896419593115,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.1999999999999997, 'e': 0.1064585043792528}",25,4,15.189599798019106,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.1999999999999997, 'e': 0.104350484754765}",25,0,-23.477267624438298,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
